Eurovision Song Contest 2016 Second Semi-Final;;;;;;;;;;
From country;To country;Jury A;Jury B;Jury C;Jury D;Jury E;Jury Rank;Televote Rank;Jury Points;Televote Points
F.Y.R. Macedonia;Switzerland;16;11;11;15;10;14;13;"
";"
"
F.Y.R. Macedonia;Israel;3;5;6;14;8;5;17;6;"
"
F.Y.R. Macedonia;Belarus;15;14;16;10;9;15;11;"
";"
"
F.Y.R. Macedonia;Serbia;2;2;1;2;1;1;2;12;10
F.Y.R. Macedonia;Ireland;12;6;13;11;15;13;15;"
";"
"
F.Y.R. Macedonia;Lithuania;9;9;4;13;4;6;14;5;"
"
F.Y.R. Macedonia;Australia;13;15;2;9;3;7;7;4;4
F.Y.R. Macedonia;Slovenia;8;7;7;6;7;4;8;7;3
F.Y.R. Macedonia;Bulgaria;4;4;5;1;6;3;3;8;8
F.Y.R. Macedonia;Denmark;7;17;14;12;17;17;16;"
";"
"
F.Y.R. Macedonia;Ukraine;5;1;3;4;2;2;5;10;6
F.Y.R. Macedonia;Norway;14;13;15;8;14;16;9;"
";2
F.Y.R. Macedonia;Georgia;6;12;17;3;13;10;12;1;"
"
F.Y.R. Macedonia;Albania;10;10;10;5;16;11;1;"
";12
F.Y.R. Macedonia;Belgium;11;8;9;7;11;8;6;3;5
Georgia;Latvia;7;14;6;11;3;6;3;5;8
Georgia;Poland;17;9;8;4;8;8;4;3;7
Georgia;Switzerland;2;8;7;13;6;4;16;7;"
"
Georgia;Israel;10;5;5;12;7;5;10;6;1
Georgia;Belarus;16;10;15;5;10;14;5;"
";6
Georgia;Serbia;12;7;13;15;11;16;9;"
";2
Georgia;Ireland;11;11;11;10;12;13;15;"
";"
"
Georgia;F.Y.R. Macedonia;8;17;17;1;14;15;13;"
";"
"
Georgia;Lithuania;9;13;4;8;13;9;2;2;10
Georgia;Australia;4;4;3;14;5;3;7;8;4
Georgia;Slovenia;13;15;16;6;4;12;14;"
";"
"
Georgia;Bulgaria;14;16;9;2;17;17;6;"
";5
Georgia;Denmark;6;6;12;9;9;7;12;4;"
"
Georgia;Ukraine;1;1;1;17;1;1;1;12;12
Georgia;Norway;15;3;10;7;15;10;11;1;"
"
Georgia;Albania;5;12;14;3;16;11;17;"
";"
"
Georgia;Belgium;3;2;2;16;2;2;8;10;3
Germany;Latvia;8;12;7;6;6;6;8;5;3
Germany;Poland;10;11;9;15;12;12;1;"
";12
Germany;Switzerland;14;8;11;10;10;10;18;1;"
"
Germany;Israel;2;3;1;3;1;1;9;12;2
Germany;Belarus;9;14;12;8;7;9;16;2;"
"
Germany;Serbia;13;15;16;16;15;17;10;"
";1
Germany;Ireland;16;13;13;14;16;16;11;"
";"
"
Germany;F.Y.R. Macedonia;7;16;17;12;17;15;12;"
";"
"
Germany;Lithuania;11;7;5;17;8;8;7;3;4
Germany;Australia;4;2;2;5;5;4;2;7;10
Germany;Slovenia;17;10;10;9;13;13;17;"
";"
"
Germany;Bulgaria;5;6;14;7;9;7;4;4;7
Germany;Denmark;18;17;18;18;18;18;14;"
";"
"
Germany;Ukraine;3;9;3;4;3;5;3;6;8
Germany;Norway;15;4;8;13;14;11;13;"
";"
"
Germany;Georgia;6;1;4;1;2;2;6;10;5
Germany;Albania;12;18;15;11;11;14;15;"
";"
"
Germany;Belgium;1;5;6;2;4;3;5;8;6
Ireland;Latvia;6;10;5;12;4;7;4;4;7
Ireland;Poland;12;7;16;9;15;12;2;"
";10
Ireland;Switzerland;7;8;13;2;6;6;14;5;"
"
Ireland;Israel;1;3;6;16;5;4;9;7;2
Ireland;Belarus;4;9;4;10;14;9;10;2;1
Ireland;Serbia;5;5;14;14;13;11;15;"
";"
"
Ireland;F.Y.R. Macedonia;13;15;15;17;9;17;16;"
";"
"
Ireland;Lithuania;8;11;10;3;8;8;1;3;12
Ireland;Australia;16;6;3;8;1;5;3;6;8
Ireland;Slovenia;3;2;8;4;12;3;13;8;"
"
Ireland;Bulgaria;10;4;7;5;2;2;6;10;5
Ireland;Denmark;11;14;17;7;11;13;8;"
";3
Ireland;Ukraine;17;17;9;13;7;15;7;"
";4
Ireland;Norway;9;13;11;11;17;14;11;"
";"
"
Ireland;Georgia;15;16;2;6;10;10;12;1;"
"
Ireland;Albania;14;12;12;15;16;16;17;"
";"
"
Ireland;Belgium;2;1;1;1;3;1;5;12;6
Israel;Latvia;8;3;2;10;5;4;11;7;"
"
Israel;Poland;11;11;11;16;16;14;5;"
";6
Israel;Switzerland;9;8;12;14;8;10;16;1;"
"
Israel;Belarus;4;14;13;12;17;13;8;"
";3
Israel;Serbia;15;13;17;13;11;15;13;"
";"
"
Israel;Ireland;6;15;14;2;6;9;10;2;1
Israel;F.Y.R. Macedonia;1;1;6;5;12;3;9;8;2
Israel;Lithuania;12;5;7;3;9;7;6;4;5
Israel;Australia;3;4;1;1;2;1;1;12;12
Israel;Slovenia;16;9;16;9;7;11;15;"
";"
"
Israel;Bulgaria;7;6;5;7;14;8;2;3;10
Israel;Denmark;17;17;10;15;10;16;7;"
";4
Israel;Ukraine;2;2;4;4;3;2;4;10;7
Israel;Norway;14;16;9;6;15;12;12;"
";"
"
Israel;Georgia;5;7;8;11;4;6;14;5;"
"
Israel;Albania;13;12;15;17;13;17;17;"
";"
"
Israel;Belgium;10;10;3;8;1;5;3;6;8
Italy;Latvia;18;15;10;9;4;13;12;"
";"
"
Italy;Poland;4;14;11;13;6;8;2;3;10
Italy;Switzerland;17;11;9;14;15;15;17;"
";"
"
Italy;Israel;3;10;5;3;1;3;13;8;"
"
Italy;Belarus;5;6;15;17;12;12;10;"
";1
Italy;Serbia;11;7;8;8;8;6;5;5;6
Italy;Ireland;9;4;13;15;9;9;14;2;"
"
Italy;F.Y.R. Macedonia;8;13;16;16;18;17;9;"
";2
Italy;Lithuania;15;12;7;12;5;10;7;1;4
Italy;Australia;1;5;4;1;2;1;8;12;3
Italy;Slovenia;14;3;3;10;7;5;18;6;"
"
Italy;Bulgaria;16;9;12;7;10;11;4;"
";7
Italy;Denmark;12;8;18;18;11;16;15;"
";"
"
Italy;Ukraine;6;1;6;2;3;2;1;10;12
Italy;Norway;13;16;17;11;16;18;16;"
";"
"
Italy;Georgia;2;2;1;5;13;4;11;7;"
"
Italy;Albania;7;18;14;6;17;14;3;"
";8
Italy;Belgium;10;17;2;4;14;7;6;4;5
Latvia;Poland;13;15;15;10;12;15;7;"
";4
Latvia;Switzerland;17;12;14;16;16;16;15;"
";"
"
Latvia;Israel;16;6;5;5;10;9;13;2;"
"
Latvia;Belarus;12;11;12;13;4;10;4;1;7
Latvia;Serbia;5;9;7;6;8;6;16;5;"
"
Latvia;Ireland;10;8;16;12;11;12;10;"
";1
Latvia;F.Y.R. Macedonia;15;17;17;15;17;17;14;"
";"
"
Latvia;Lithuania;3;2;2;2;1;1;2;12;10
Latvia;Australia;2;5;3;7;2;3;3;8;8
Latvia;Slovenia;4;10;10;9;6;8;12;3;"
"
Latvia;Bulgaria;6;4;6;3;9;4;8;7;3
Latvia;Denmark;7;14;11;11;13;11;9;"
";2
Latvia;Ukraine;1;1;1;1;7;2;1;10;12
Latvia;Norway;14;16;13;17;5;14;11;"
";"
"
Latvia;Georgia;9;3;4;4;14;5;6;6;5
